tkueuqsbdmapaxhpwfmmftakqkaodu,4651582,56.33S,51.11E
eqmfimdqecxrqfnrqheqvinsitmoxw,280531,40.84N,99.58W
rtqpnivecmlgfhquaypmpplevcggdx,4467376,43.28N,58.0W
obwajejbalcrxsjmyfqfltejoyabjb,2670262,54.73N,13.28W
qqwvixqtkpydwnwdyneboocbpilqxc,4477552,45.80S,55.28W
ymtarsnowocbpsrtuheibdmfuhjiml,4999949,0.36S,42.67W
gxqkcjetfbeklhnxoifyqtkfhlnsfo,2551247,13.94S,67.89E
lfgrptbfrqnypgscnapbvvqukgljxl,4192204,44.28N,36.22E
rmahmpqhuekmgiiydsfpffbwqwwwjr,4521327,30.31N,19.2W
builhqvsranypsesrwqpwahefmlpin,2532777,60.56N,20.93W
noubpmwtfosvgpxotddivmvryjxyeu,1038586,11.35N,3.86W
wjlphtiikcnomldldeubdyxaulqrow,3798586,83.44N,17.53W
afsqvgcbtgfojkpkkkxecnbqdjsjbn,3260412,70.63S,16.41W
tvfbkrlccyocdspgkvrdfusgynavgc,893311,48.94N,60.62W
oyqdcvxtckpvqvqjesaeoiiklioosj,4996845,9.93N,63.34E
hyxxwotoaahcexlolwwcnpnwbyxpmv,2501566,72.14N,20.60E
ltouxusjjgiiiyawvbvvqltsgrxboq,4629182,37.93S,86.13W
uoygyjfygdafyqqtlynjacdtepcddh,1585554,73.94N,72.85E
vmpxtqokmclamnerhkjjnnsjoqfvpl,1563670,49.26S,43.41E
gidriripjpasaoguawmhuctfqujcpd,2123811,88.15S,46.13E
llqogsfpohmbokfipxdabvfgtsqmqs,3258717,81.33S,64.84W
emitpwexivvnxyjfhexaqrsfwbmsqk,3518396,25.93N,67.30E
rjtqxrrhxalxcfrxmoyyjpjfnlhggj,2398810,18.85N,93.58E
brjosltkjgcjflbrrqfbxlmekiebbx,1329768,16.7S,84.9W
tpwvbekfxcvefvrsacbgecfohvjbhp,312250,5.84S,9.57W
ouokbtjvmjxpsesxtctfdbuvecmelj,178616,31.50N,85.12W
goigfbnayjcuohvjddlrjxdbakgnwi,1499975,0.77S,80.20E
fwkjryqqkttwodwrewenlbxxixrwdp,3214325,12.23N,31.19W
wvjquxwrpdouscxrbhpuevkciynfgy,3058234,72.97N,67.52E
jvbasufsogcgdgcqlnrbsxcogyufqa,2328114,48.89S,43.94W
mrsqbxadonshonhrdnsxumaxqyhvtk,3687376,55.23S,81.92E
lqnfxesgvxvrxreyruayrtmcftgfai,402851,26.23S,2.80E
kxogpnavmsqotkkinpcvuegcshyplb,4466554,74.95S,16.54E
mxxfmsqwdgngckmkpftovgpecqahhj,4998928,59.88N,71.13W
vkblsfvfplnlblrspwkqetcrqmeskk,1875470,45.55S,90.85W
vjclufwpymmjfqfilvwpohccqaqipk,14958,19.21S,42.33W
hilvtqoabavaplispbshjkrjyonxiu,2529842,54.12N,23.24W
xfdwfuippxqkhbvcmuqasbwpsdxgcc,4069499,57.12N,62.21W
dykvkrygvldonxplqioqossaxanynw,506540,49.41N,84.91W
rmewbsurelcudtqvtoyjnojbjiwatp,112831,29.95N,82.14E
bwvetyxkwtyvfpmoqvyqwuipkmnwtg,111630,78.98N,48.66E
kbvkadcmuujtlirvxcioafuhbbidbm,3048459,63.63N,90.22W
dbvoxjwpiwtqlvvjdyknclahyqkxgt,390386,20.16N,93.55W
kqwfjkbitfhguktvttohrwbrjvqlrb,3632927,44.82S,78.0E
lrqtalgujaqajkxkejjuwbvkdpunvs,3544209,62.93N,87.52W
hpmapvkpjpbsmbtllydjmycljodmbh,4491433,74.75N,64.41E
hwqkpdlloxnsharlodarqdbrqahdru,4905923,93.21N,85.49W
ynvmidoaodeqvwvwqnaasruwqprcdr,499126,82.71N,65.42E
srjykhxhgougqnxnkqeethvtlgscvv,4252783,64.24N,74.22E
gledruqsldjphdygammuokqachvtjx,3899817,59.19S,54.25E
wxqgpamqiodujtictkkpetqoncejis,1537816,41.71S,33.19E
ybrexdxgftsrmxnfochunsnmxeeomy,3910302,25.48S,98.42E
hykaqyaheplnkygbohfsvurqitebuv,4241299,45.72S,63.6W
wiyiwlkdmyksrjnmcxggydesfyxmpf,1063653,38.41S,12.64E
srhdmbocnqawacagwiiwwxcqmqlkfr,3895857,84.93N,71.87E
atmbqoftucedybdetquhbcyubjwfhb,2879523,71.16S,39.72W
kywoevrianywucauydewinaixvxlnb,2416858,2.97N,34.24W
revseqwglwjrttitciscwggdekhttj,180408,90.13S,94.17E
afbjywdjsisnmptssbgcuanyoeywxs,938952,25.50N,99.77W
jwycklthhoinrfpfhelickbflbmvdr,432295,39.85S,52.82W
ljbvwsbobktmtxywfmbtjemxsdmlho,491438,73.4N,22.13W
lxfhmyhowpbajkexlyeaklokhonxlk,2073907,58.39N,98.73W
mygnysbdsmewmoldbsrpsfcmennnln,1682961,88.53S,87.47W
scdwyrokupfohytknyxbolqvlemytu,1344551,72.48S,49.4E
jlsrbcsuogvojlachljtldperoafno,607170,78.80N,4.10W
yusvjehkiqxrlludporquihdikgaol,70835,81.0N,93.25W
dvobocplhfbcvxkgdsqlsiwhbgopyc,706919,48.21N,37.4E
bqdcsbcdjhxbsqlramxoeystdrxngj,1817772,26.19S,21.6E
adwagrrtktgkjmmegpvhffqsoriboe,4690171,83.40N,14.89E
jwhrkqhwwnovuubmnpgxswdmplfjcr,4519612,90.30N,77.95W
ytfnpbkspxixwexcqnnxyrpxihbqja,958845,94.45S,34.47W
eikmjhshllwyjwscwbjxtvxegtsffl,2734132,72.24N,6.75W
nwekxnjsrguchqahvgcqoheirbkqhx,1484446,72.27N,97.64E
pwdkbmebtakvsygwhxytqitbgssqpx,246633,72.34S,99.30E
cyymutnbqwbrstdmvjfoauomdlfvmj,2499409,8.27S,81.33W
hirldlfgxdpgtrdiggwlelxydguimm,2217164,96.85N,49.50E
fjvwppqubycanglliprfafsfeoconn,435823,22.17S,39.8W
